7: impossible
35: [3, 11]
1000000000: [7812373, 7812627]
1000000000: [9999901, 10000099]
1000000000: [12499921, 12500079]
1000000000: [15624937, 15625063]
1000000000: [19999951, 20000049]
1000000000: [24999961, 25000039]
1000000000: [31249969, 31250031]
1000000000: [49999981, 50000019]
1000000000: [62499985, 62500015]
1000000000: [99999991, 100000009]
1000000000: [124999993, 125000007]
1000000000: [249999997, 250000003]
1000000000: [499999999, 500000001]
59056: [7375, 7389]
59056: [14761, 14767]
59056: [29527, 29529]
42524: [21261, 21263]
26250: impossible
22180: [2209, 2227]
22180: [11089, 11091]
91589: [1301, 1433]
3879: [423, 439]
3879: [1291, 1295]
20670: impossible
15493: impossible
49567: [415, 607]
49567: [607, 751]
49567: [7075, 7087]
25864: [91, 333]
25864: [139, 349]
25864: [6463, 6469]
25864: [12931, 12933]
7: impossible
97: impossible
997: impossible
9973: impossible
99991: impossible
999983: impossible
9999991: impossible
99999989: impossible
999999937: impossible
857656800: [229, 58571]
857656800: [1389, 58587]
857656800: [1471, 58589]
857656800: [2527, 58625]
857656800: [2573, 58627]
857656800: [2955, 58645]
857656800: [3221, 58659]
857656800: [4117, 58715]
857656800: [4875, 58773]
857656800: [4923, 58777]
857656800: [5821, 58859]
857656800: [6581, 58939]
857656800: [7279, 59021]
857656800: [7581, 59059]
857656800: [8181, 59139]
857656800: [8835, 59233]
857656800: [9331, 59309]
857656800: [9899, 59401]
857656800: [10971, 59589]
857656800: [11677, 59723]
857656800: [12237, 59835]
857656800: [12839, 59961]
857656800: [13253, 60051]
857656800: [14029, 60227]
857656800: [14469, 60331]
857656800: [15781, 60659]
857656800: [16709, 60907]
857656800: [16847, 60945]
857656800: [17431, 61109]
857656800: [17943, 61257]
857656800: [18221, 61339]
857656800: [18535, 61433]
857656800: [18621, 61459]
857656800: [20007, 61893]
857656800: [21059, 62241]
857656800: [21643, 62441]
857656800: [22821, 62859]
857656800: [22909, 62891]
857656800: [23231, 63009]
857656800: [23517, 63115]
857656800: [24159, 63357]
857656800: [24653, 63547]
857656800: [24797, 63603]
857656800: [25771, 63989]
857656800: [27165, 64563]
857656800: [27637, 64763]
857656800: [27931, 64889]
857656800: [28475, 65125]
857656800: [28925, 65323]
857656800: [29583, 65617]
857656800: [30199, 65897]
857656800: [30831, 66189]
857656800: [30981, 66259]
857656800: [32821, 67139]
857656800: [32915, 67185]
857656800: [34131, 67789]
857656800: [34821, 68139]
857656800: [35981, 68739]
857656800: [36871, 69209]
857656800: [37535, 69565]
857656800: [37989, 69811]
857656800: [38893, 70307]
857656800: [39379, 70577]
857656800: [39971, 70909]
857656800: [40293, 71091]
857656800: [40757, 71355]
857656800: [40813, 71387]
857656800: [42207, 72193]
857656800: [42371, 72289]
857656800: [43645, 73043]
857656800: [44215, 73385]
857656800: [45677, 74275]
857656800: [45781, 74339]
857656800: [47187, 75213]
857656800: [48021, 75739]
857656800: [49183, 76481]
857656800: [50237, 77163]
857656800: [51023, 77677]
857656800: [51421, 77939]
857656800: [51775, 78173]
857656800: [52347, 78553]
857656800: [52431, 78609]
857656800: [53365, 79235]
857656800: [53771, 79509]
857656800: [54581, 80059]
857656800: [55469, 80667]
857656800: [56925, 81675]
857656800: [57831, 82309]
857656800: [59389, 83411]
857656800: [60173, 83971]
857656800: [61171, 84689]
857656800: [61605, 85003]
857656800: [62707, 85805]
857656800: [63335, 86265]
857656800: [63531, 86409]
857656800: [65221, 87659]
857656800: [66263, 88437]
857656800: [66567, 88665]
857656800: [67621, 89459]
857656800: [68781, 90339]
857656800: [69371, 90789]
857656800: [70243, 91457]
857656800: [71429, 92371]
857656800: [73005, 93595]
857656800: [73885, 94283]
857656800: [73959, 94341]
857656800: [75671, 95689]
857656800: [75805, 95795]
857656800: [76733, 96531]
857656800: [77717, 97315]
857656800: [78477, 97923]
857656800: [78699, 98101]
857656800: [80571, 99609]
857656800: [82271, 100989]
857656800: [82379, 101077]
857656800: [83119, 101681]
857656800: [83581, 102059]
857656800: [85149, 103347]
857656800: [86575, 104525]
857656800: [88181, 105859]
857656800: [88421, 106059]
857656800: [90827, 108073]
857656800: [91381, 108539]
857656800: [91533, 108667]
857656800: [93703, 110501]
857656800: [94631, 111289]
857656800: [96531, 112909]
857656800: [99093, 115107]
857656800: [99845, 115755]
857656800: [100371, 116209]
857656800: [101347, 117053]
857656800: [102157, 117755]
857656800: [103685, 119083]
857656800: [104463, 119761]
857656800: [104557, 119843]
857656800: [107181, 122139]
857656800: [109339, 124037]
857656800: [110531, 125089]
857656800: [112803, 127101]
857656800: [112981, 127259]
857656800: [114495, 128605]
857656800: [116831, 130689]
857656800: [118087, 131813]
857656800: [119327, 132925]
857656800: [120669, 134131]
857656800: [122037, 135363]
857656800: [122731, 135989]
857656800: [123349, 136547]
857656800: [124349, 137451]
857656800: [126133, 139067]
857656800: [128271, 141009]
857656800: [129837, 142435]
857656800: [132413, 144787]
857656800: [133071, 145389]
857656800: [134021, 146259]
857656800: [136795, 148805]
857656800: [138195, 150093]
857656800: [139981, 151739]
857656800: [140759, 152457]
857656800: [144221, 155659]
857656800: [144439, 155861]
857656800: [147271, 158489]
857656800: [149157, 160243]
857656800: [151621, 162539]
857656800: [153731, 164509]
857656800: [156397, 167003]
857656800: [158565, 169035]
857656800: [159735, 170133]
857656800: [161453, 171747]
857656800: [163069, 173267]
857656800: [163205, 173395]
857656800: [165131, 175209]
857656800: [166603, 176597]
857656800: [168315, 178213]
857656800: [170133, 179931]
857656800: [171539, 181261]
857656800: [175421, 184939]
857656800: [178581, 187939]
857656800: [181021, 190259]
857656800: [183947, 193045]
857656800: [186613, 195587]
857656800: [189621, 198459]
857656800: [190071, 198889]
857656800: [190523, 199321]
857656800: [191983, 200717]
857656800: [194589, 203211]
857656800: [195631, 204209]
857656800: [195917, 204483]
857656800: [200005, 208403]
857656800: [206131, 214289]
857656800: [210197, 218203]
857656800: [211623, 219577]
857656800: [212621, 220539]
857656800: [214871, 222709]
857656800: [216013, 223811]
857656800: [218919, 226617]
857656800: [220579, 228221]
857656800: [225581, 233059]
857656800: [228355, 235745]
857656800: [231981, 239259]
857656800: [234639, 241837]
857656800: [236671, 243809]
857656800: [239015, 246085]
857656800: [239573, 246627]
857656800: [246469, 253331]
857656800: [248853, 255651]
857656800: [251435, 258165]
857656800: [254069, 260731]
857656800: [256597, 263195]
857656800: [258525, 265075]
857656800: [261967, 268433]
857656800: [269123, 275421]
857656800: [271771, 278009]
857656800: [274107, 280293]
857656800: [275381, 281539]
857656800: [277221, 283339]
857656800: [283659, 289641]
857656800: [288781, 294659]
857656800: [297021, 302739]
857656800: [297445, 303155]
857656800: [303507, 309105]
857656800: [306629, 312171]
857656800: [311431, 316889]
857656800: [320749, 326051]
857656800: [322231, 327509]
857656800: [324983, 330217]
857656800: [327269, 332467]
857656800: [330627, 335773]
857656800: [333787, 338885]
857656800: [334053, 339147]
857656800: [337821, 342859]
857656800: [347615, 352513]
857656800: [347903, 352797]
857656800: [357981, 362739]
857656800: [362299, 367001]
857656800: [364181, 368859]
857656800: [368971, 373589]
857656800: [372563, 377137]
857656800: [379957, 384443]
857656800: [385871, 390289]
857656800: [387645, 392043]
857656800: [390517, 394883]
857656800: [395645, 399955]
857656800: [398259, 402541]
857656800: [406309, 410507]
857656800: [418381, 422459]
857656800: [426399, 430401]
857656800: [431181, 435139]
857656800: [435621, 439539]
857656800: [437875, 441773]
857656800: [448547, 452353]
857656800: [456279, 460021]
857656800: [456771, 460509]
857656800: [462253, 465947]
857656800: [469421, 473059]
857656800: [474677, 478275]
857656800: [483333, 486867]
857656800: [484437, 487963]
857656800: [498085, 501515]
857656800: [502805, 506203]
857656800: [508831, 512189]
857656800: [513135, 516465]
857656800: [518143, 521441]
857656800: [521963, 525237]
857656800: [539867, 543033]
857656800: [548221, 551339]
857656800: [555381, 558459]
857656800: [559031, 562089]
857656800: [571805, 574795]
857656800: [581971, 584909]
857656800: [587595, 590505]
857656800: [598331, 601189]
857656800: [599173, 602027]
857656800: [611213, 614011]
857656800: [617415, 620185]
857656800: [629271, 631989]
857656800: [645475, 648125]
857656800: [648421, 651059]
857656800: [658437, 661035]
857656800: [671927, 674473]
857656800: [679421, 681939]
857656800: [694919, 697381]
857656800: [699477, 701923]
857656800: [713515, 715913]
857656800: [719531, 721909]
857656800: [728125, 730475]
857656800: [731871, 734209]
857656800: [748557, 750843]
857656800: [763279, 765521]
857656800: [778589, 780787]
857656800: [784309, 786491]
857656800: [794523, 796677]
857656800: [815767, 817865]
857656800: [823631, 825709]
857656800: [839821, 841859]
857656800: [849843, 851857]
857656800: [865331, 867309]
857656800: [874181, 876139]
857656800: [899949, 901851]
857656800: [915365, 917235]
857656800: [927277, 929123]
857656800: [941571, 943389]
857656800: [952053, 953851]
857656800: [969317, 971083]
857656800: [971519, 973281]
857656800: [973731, 975489]
857656800: [998743, 1000457]
857656800: [1008159, 1009857]
857656800: [1020181, 1021859]
857656800: [1050235, 1051865]
857656800: [1082109, 1083691]
857656800: [1093167, 1094733]
857656800: [1098781, 1100339]
857656800: [1113071, 1114609]
857656800: [1145853, 1147347]
857656800: [1177373, 1178827]
857656800: [1190471, 1191909]
857656800: [1200487, 1201913]
857656800: [1224525, 1225923]
857656800: [1260581, 1261939]
857656800: [1298821, 1300139]
857656800: [1318823, 1320121]
857656800: [1360731, 1361989]
857656800: [1373827, 1375073]
857656800: [1391685, 1392915]
857656800: [1400789, 1402011]
857656800: [1428829, 1430027]
857656800: [1458013, 1459187]
857656800: [1498829, 1499971]
857656800: [1530971, 1532089]
857656800: [1558827, 1559925]
857656800: [1570255, 1571345]
857656800: [1623823, 1624877]
857656800: [1648821, 1649859]
857656800: [1681171, 1682189]
857656800: [1701197, 1702203]
857656800: [1749831, 1750809]
857656800: [1801325, 1802275]
857656800: [1832133, 1833067]
857656800: [1855939, 1856861]
857656800: [1905455, 1906353]
857656800: [1939959, 1940841]
857656800: [1948781, 1949659]
857656800: [2041621, 2042459]
857656800: [2101693, 2102507]
857656800: [2143743, 2144541]
857656800: [2165405, 2166195]
857656800: [2187509, 2188291]
857656800: [2198731, 2199509]
857656800: [2292827, 2293573]
857656800: [2355837, 2356563]
857656800: [2382021, 2382739]
857656800: [2450099, 2450797]
857656800: [2522181, 2522859]
857656800: [2552215, 2552885]
857656800: [2598631, 2599289]
857656800: [2748589, 2749211]
857656800: [2784293, 2784907]
857656800: [2802495, 2803105]
857656800: [2858557, 2859155]
857656800: [2916907, 2917493]
857656800: [2998515, 2999085]
857656800: [3062781, 3063339]
857656800: [3152879, 3153421]
857656800: [3248437, 3248963]
857656800: [3298421, 3298939]
857656800: [3403149, 3403651]
857656800: [3573331, 3573809]
857656800: [3603363, 3603837]
857656800: [3664967, 3665433]
857656800: [3898221, 3898659]
857656800: [4083871, 4084289]
857656800: [4123143, 4123557]
857656800: [4203997, 4204403]
857656800: [4288085, 4288483]
857656800: [4331403, 4331797]
857656800: [4375605, 4375995]
857656800: [4712219, 4712581]
857656800: [4764581, 4764939]
857656800: [4872875, 4873225]
857656800: [5044871, 5045209]
857656800: [5104933, 5105267]
857656800: [5497645, 5497955]
857656800: [5569047, 5569353]
857656800: [5717563, 5717861]
857656800: [5955807, 5956093]
857656800: [6125981, 6126259]
857656800: [6306165, 6306435]
857656800: [6497269, 6497531]
857656800: [6597231, 6597489]
857656800: [6806675, 6806925]
857656800: [7147021, 7147259]
857656800: [7657539, 7657761]
857656800: [7796771, 7796989]
857656800: [8246597, 8246803]
857656800: [8408299, 8408501]
857656800: [8576469, 8576667]
857656800: [8751503, 8751697]
857656800: [9529431, 9529609]
857656800: [9746013, 9746187]
857656800: [10210117, 10210283]
857656800: [10720631, 10720789]
857656800: [10995523, 10995677]
857656800: [11911829, 11911971]
857656800: [12252171, 12252309]
857656800: [12612533, 12612667]
857656800: [12994735, 12994865]
857656800: [14294221, 14294339]
857656800: [15315245, 15315355]
857656800: [16493349, 16493451]
857656800: [17153087, 17153185]
857656800: [17867803, 17867897]
857656800: [19492157, 19492243]
857656800: [20420359, 20420441]
857656800: [21441381, 21441459]
857656800: [23823765, 23823835]
857656800: [25225167, 25225233]
857656800: [28588531, 28588589]
857656800: [30630573, 30630627]
857656800: [32986775, 32986825]
857656800: [35735677, 35735723]
857656800: [38984379, 38984421]
857656800: [42882821, 42882859]
857656800: [47647583, 47647617]
857656800: [53603535, 53603565]
857656800: [61261187, 61261213]
857656800: [71471389, 71471411]
857656800: [85765671, 85765689]
857656800: [107207093, 107207107]
857656800: [142942795, 142942805]
857656800: [214414197, 214414203]
857656800: [428828399, 428828401]
506430857: [53145, 69641]
506430857: [89705, 100361]
506430857: [151265, 157817]
506430857: [237105, 241337]
506430857: [601337, 603017]
506430857: [4481577, 4481801]
506430857: [6937337, 6937481]
506430857: [17463105, 17463161]
55289061: [1717, 14969]
55289061: [6581, 16261]
55289061: [10717, 18329]
55289061: [17101, 22661]
55289061: [22821, 27237]
55289061: [42301, 44837]
55289061: [58717, 60569]
55289061: [130285, 131129]
55289061: [178621, 179237]
55289061: [227285, 227769]
55289061: [391981, 392261]
55289061: [536685, 536889]
55289061: [682501, 682661]
55289061: [1176317, 1176409]
55289061: [2047717, 2047769]
55289061: [6143221, 6143237]
55289061: [18429685, 18429689]
22496783: [10319, 14015]
22496783: [21759, 23735]
22496783: [41999, 43055]
22496783: [523139, 523223]
22496783: [978099, 978143]
205792109: [13701, 31793]
205792109: [39221, 48593]
205792109: [54093, 61229]
205792109: [79581, 84593]
205792109: [105893, 109709]
205792109: [207093, 209069]
205792109: [388493, 389549]
205792109: [1887893, 1888109]
205792109: [2479341, 2479505]
205792109: [4785821, 4785905]
205792109: [8947461, 8947505]
613901263: [62479, 79743]
613901263: [69583, 85423]
613901263: [130099, 139215]
613901263: [142579, 150943]
613901263: [370639, 373935]
613901263: [404239, 407263]
613901263: [767539, 769135]
613901263: [6328783, 6328975]
613901263: [6897679, 6897855]
613901263: [13061683, 13061775]
613901263: [36111823, 36111855]
544000307: [77235, 90227]
544000307: [96755, 107411]
544000307: [161907, 168491]
544000307: [194415, 199931]
544000307: [198707, 204107]
544000307: [238127, 242651]
544000307: [473135, 475427]
544000307: [6112275, 6112451]
544000307: [7451987, 7452131]
544000307: [14702675, 14702747]
544000307: [17548367, 17548427]
61814729: [6329, 16949]
61814729: [7929, 17609]
61814729: [546921, 547145]
61814729: [600041, 600245]
61814729: [1315161, 1315253]
411502141: [49045, 63649]
411502141: [87181, 96157]
411502141: [127021, 133341]
411502141: [209845, 213729]
411502141: [488461, 490141]
411502141: [3775141, 3775357]
411502141: [6141757, 6141889]
411502141: [14189701, 14189757]
398870321: [54897, 67889]
398870321: [69521, 80177]
398870321: [151961, 157121]
398870321: [186297, 190529]
398870321: [473441, 475121]
398870321: [4481601, 4481777]
398870321: [5463905, 5464049]
398870321: [13754121, 13754177]
940635793: [889, 61345]
940635793: [10153, 62173]
940635793: [16009, 63393]
940635793: [25753, 66525]
940635793: [42889, 74845]
940635793: [589633, 592813]
940635793: [685729, 688465]
940635793: [753073, 755565]
940635793: [875569, 877713]
940635793: [1117633, 1119313]
940635793: [1150513, 1152145]
940635793: [1337329, 1338733]
940635793: [1706593, 1707693]
940635793: [21875209, 21875293]
940635793: [25422553, 25422625]
940635793: [32435689, 32435745]
940635793: [49507129, 49507165]
10983487: [1555, 6807]
10983487: [6655, 9391]
10983487: [97087, 97311]
10983487: [154627, 154767]
10983487: [296815, 296887]
